,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z,Bulk density (GRA),Magnetic susceptibility (instr. units),NGR total counts (cps)
0,0.745,189.5,65.5,1.31,0.452,2.7769999999999997,83.7,40.2,2.1,1.2,11.1,11.4,11.8,1.392,26.0,23.396
1,1.9880000000000002,151.0,60.2,1.3719999999999999,0.547,2.8160000000000003,80.6,36.2,-0.3,2.8,8.6,9.1,8.9,1.3630000000000002,41.2,26.000999999999998
2,2.752,165.9,62.4,1.348,0.507,2.84,82.1,35.0,0.4,1.4,8.1,8.5,8.7,1.3980000000000001,16.4,26.659000000000002
3,3.8,114.5,53.4,1.462,0.6809999999999999,2.865,76.2,39.9,0.6,1.4,10.7,11.2,11.5,1.55,17.6,38.554
4,5.3,64.3,39.1,1.67,1.0170000000000001,2.8080000000000003,63.8,36.0,0.6,1.1,8.6,9.0,9.3,0.363,22.0,39.454
5,6.8,167.1,62.6,1.347,0.504,2.847,82.3,35.2,1.3,-0.2,8.3,8.6,9.3,1.666,33.0,27.698
6,8.45,92.2,48.0,1.5330000000000001,0.797,2.826,71.8,34.0,1.1,0.3,7.7,8.0,8.5,1.7630000000000001,35.2,39.516
7,9.89,90.1,47.4,1.5430000000000001,0.812,2.839,71.4,35.6,1.4,0.5,8.5,8.8,9.3,1.5730000000000002,24.0,31.369
8,11.48,96.7,49.2,1.5190000000000001,0.772,2.8510000000000004,72.9,37.8,1.0,-0.5,9.6,10.0,10.9,1.8659999999999999,35.4,45.229
9,13.39,46.1,31.5,1.811,1.24,2.803,55.8,41.5,1.6,-1.0,11.8,12.2,13.5,1.578,28.6,41.724
10,14.89,172.2,63.3,1.33,0.488,2.738,82.2,34.4,1.1,-0.3,7.9,8.2,8.9,1.429,45.4,25.778000000000002
11,16.42,112.7,53.0,1.464,0.688,2.8339999999999996,75.7,39.4,1.3,-0.8,10.5,10.9,12.0,1.547,66.0,43.568000000000005
12,17.73,111.7,52.8,1.4680000000000002,0.6940000000000001,2.8480000000000003,75.6,29.2,1.2,0.6,5.7,5.9,6.2,1.525,35.6,35.228
13,19.52,103.9,51.0,1.489,0.73,2.823,74.1,36.9,1.6,0.0,9.2,9.5,10.2,1.551,23.0,27.592
14,21.09,93.1,48.2,1.5419999999999998,0.799,2.917,72.6,48.1,1.0,3.2,16.2,16.9,16.6,1.755,9.2,19.529
15,21.3,106.6,51.6,1.485,0.7190000000000001,2.8569999999999998,74.8,40.6,1.5,-1.9,11.2,11.6,13.2,1.5959999999999999,26.2,33.703
16,21.68,111.5,52.7,1.4669999999999999,0.693,2.8310000000000004,75.5,33.6,1.0,-1.1,7.5,7.8,8.7,1.5519999999999998,37.6,34.571999999999996
17,22.851,59.0,37.1,1.702,1.07,2.792,61.7,42.0,0.3,-1.4,11.9,12.5,14.0,1.787,29.0,44.443999999999996
18,24.276,112.8,53.0,1.446,0.679,2.7,74.8,46.3,0.6,3.4,14.8,15.5,15.1,1.5030000000000001,51.8,28.984
19,32.503,93.6,48.3,1.54,0.7959999999999999,2.9160000000000004,72.7,38.2,1.0,-0.4,9.8,10.2,11.1,1.651,35.8,34.189
20,33.596,66.5,39.9,1.6640000000000001,0.9990000000000001,2.8489999999999998,64.9,41.7,1.0,-2.2,11.8,12.3,14.1,1.756,38.0,50.593999999999994
21,35.192,73.3,42.3,1.625,0.938,2.852,67.1,37.5,1.7,-1.1,9.5,9.8,10.9,1.751,49.4,44.298
22,36.788000000000004,66.2,39.8,1.663,1.001,2.835,64.7,36.7,0.7,-2.1,9.0,9.4,10.8,1.9069999999999998,31.2,46.036
23,38.141999999999996,92.0,47.9,1.53,0.797,2.803,71.6,42.5,1.8,-1.3,12.4,12.8,14.3,1.59,32.4,35.258
