,Depth CSF-B (m),Bulk density (GRA)
0,0.0,1.254
1,0.0,1.102
2,0.025,1.169
3,0.025,1.421
4,0.025,1.4340000000000002
5,0.049,1.3869999999999998
6,0.05,1.376
7,0.05,1.425
8,0.07400000000000001,1.412
9,0.075,1.4469999999999998
10,0.075,1.4880000000000002
11,0.098,1.3969999999999998
12,0.099,1.4780000000000002
13,0.099,1.4340000000000002
14,0.12300000000000001,1.3969999999999998
15,0.124,1.423
16,0.124,1.3780000000000001
17,0.147,1.436
18,0.149,1.413
19,0.149,1.3559999999999999
20,0.172,1.4609999999999999
21,0.174,1.329
22,0.174,1.4080000000000001
23,0.196,1.489
24,0.19899999999999998,1.32
25,0.19899999999999998,1.469
26,0.221,1.484
27,0.22399999999999998,1.4869999999999999
28,0.22399999999999998,1.345
29,0.245,1.5519999999999998
30,0.248,1.3530000000000002
31,0.249,1.516
32,0.27,1.6540000000000001
33,0.273,1.306
34,0.273,1.515
35,0.294,1.54
36,0.298,1.2990000000000002
37,0.298,1.561
38,0.319,1.5330000000000001
39,0.32299999999999995,1.5590000000000002
40,0.32299999999999995,1.395
41,0.34299999999999997,1.452
42,0.348,1.4980000000000002
43,0.348,1.546
44,0.368,1.433
45,0.373,1.599
46,0.373,1.318
47,0.39299999999999996,1.4169999999999998
48,0.39799999999999996,1.364
49,0.41700000000000004,1.4240000000000002
50,0.42200000000000004,1.375
51,0.442,1.396
52,0.447,1.4069999999999998
53,0.466,1.409
54,0.47200000000000003,1.421
55,0.491,1.402
56,0.49700000000000005,1.444
57,0.508,1.403
58,0.515,1.412
59,0.522,1.446
60,0.5329999999999999,1.4280000000000002
61,0.54,1.42
62,0.547,1.436
63,0.5579999999999999,1.594
64,0.564,1.4380000000000002
65,0.5720000000000001,1.436
66,0.5820000000000001,1.57
67,0.589,1.435
68,0.596,1.432
69,0.607,1.367
70,0.613,1.4040000000000001
71,0.621,1.431
72,0.632,1.365
73,0.638,1.406
74,0.6459999999999999,1.45
75,0.657,1.3769999999999998
76,0.662,1.383
77,0.6709999999999999,1.455
78,0.682,1.396
79,0.687,1.4080000000000001
80,0.696,1.421
81,0.7070000000000001,1.399
82,0.711,1.433
83,0.721,1.436
84,0.732,1.3730000000000002
85,0.736,1.406
86,0.746,1.392
87,0.757,1.395
88,0.76,1.443
89,0.77,1.419
90,0.782,1.383
91,0.785,1.3869999999999998
92,0.795,1.449
93,0.8059999999999999,1.389
94,0.81,1.3359999999999999
95,0.82,1.443
96,0.831,1.251
97,0.8340000000000001,1.361
98,0.845,1.475
99,0.856,1.329
