,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%)
0,0.745,189.5,65.5,1.31,0.452,2.7769999999999997,83.7
1,1.9880000000000002,151.0,60.2,1.3719999999999999,0.547,2.8160000000000003,80.6
2,2.752,165.9,62.4,1.348,0.507,2.84,82.1
3,3.8,114.5,53.4,1.462,0.6809999999999999,2.865,76.2
4,5.3,64.3,39.1,1.67,1.0170000000000001,2.8080000000000003,63.8
5,6.8,167.1,62.6,1.347,0.504,2.847,82.3
6,8.45,92.2,48.0,1.5330000000000001,0.797,2.826,71.8
7,9.89,90.1,47.4,1.5430000000000001,0.812,2.839,71.4
8,11.48,96.7,49.2,1.5190000000000001,0.772,2.8510000000000004,72.9
9,13.39,46.1,31.5,1.811,1.24,2.803,55.8
10,14.89,172.2,63.3,1.33,0.488,2.738,82.2
11,16.42,112.7,53.0,1.464,0.688,2.8339999999999996,75.7
12,17.73,111.7,52.8,1.4680000000000002,0.6940000000000001,2.8480000000000003,75.6
13,19.52,103.9,51.0,1.489,0.73,2.823,74.1
14,21.09,93.1,48.2,1.5419999999999998,0.799,2.917,72.6
15,21.3,106.6,51.6,1.485,0.7190000000000001,2.8569999999999998,74.8
16,21.68,111.5,52.7,1.4669999999999999,0.693,2.8310000000000004,75.5
17,22.851,59.0,37.1,1.702,1.07,2.792,61.7
18,24.276,112.8,53.0,1.446,0.679,2.7,74.8
19,25.778000000000002,1092.4,91.6,0.9329999999999999,0.078,0.474,83.5
20,27.175,433.5,81.3,1.028,0.193,1.044,81.5
21,28.61,243.1,70.9,1.107,0.32299999999999995,1.3780000000000001,76.6
22,30.026,299.6,75.0,1.077,0.26899999999999996,1.275,78.9
23,30.868000000000002,263.5,72.5,1.0979999999999999,0.302,1.355,77.7
24,32.503,93.6,48.3,1.54,0.7959999999999999,2.9160000000000004,72.7
25,33.596,66.5,39.9,1.6640000000000001,0.9990000000000001,2.8489999999999998,64.9
26,35.192,73.3,42.3,1.625,0.938,2.852,67.1
27,36.788000000000004,66.2,39.8,1.663,1.001,2.835,64.7
28,38.141999999999996,92.0,47.9,1.53,0.797,2.803,71.6
29,39.353,83.5,45.5,1.578,0.86,2.877,70.1
30,40.494,49.5,33.1,1.805,1.208,2.9010000000000002,58.4
31,41.872,78.2,43.9,1.575,0.884,2.72,67.5
32,43.286,53.1,34.7,1.7519999999999998,1.145,2.8139999999999996,59.3
33,44.756,69.9,41.1,1.636,0.963,2.813,65.8
34,46.316,51.0,33.8,1.794,1.189,2.911,59.2
35,47.777,86.8,46.5,1.538,0.8240000000000001,2.7260000000000004,69.8
36,49.218999999999994,55.9,35.9,1.7480000000000002,1.121,2.891,61.2
37,50.223,72.1,41.9,1.636,0.951,2.873,66.9
38,50.94,143.2,58.9,1.3880000000000001,0.5710000000000001,2.826,79.8
39,52.97,65.7,39.7,1.6680000000000001,1.006,2.845,64.6
40,54.37,72.3,42.0,1.642,0.953,2.912,67.3
41,57.36,74.2,42.6,1.588,0.912,2.6830000000000003,66.0
42,58.11,60.1,37.5,1.73,1.081,2.9539999999999997,63.4
43,60.75,77.1,43.5,1.5230000000000001,0.86,2.441,64.8
44,62.02,80.0,44.4,1.589,0.883,2.846,69.0
45,63.73,57.3,36.4,1.7269999999999999,1.0979999999999999,2.846,61.4
46,65.49,75.4,43.0,1.6019999999999999,0.9129999999999999,2.7910000000000004,67.3
47,66.79,69.2,40.9,1.661,0.982,2.918,66.4
48,68.11,70.9,41.5,1.615,0.945,2.734,65.4
49,69.2,59.5,37.3,1.6880000000000002,1.058,2.747,61.5
50,70.4,53.6,34.9,1.758,1.145,2.852,59.9
51,71.88,59.2,37.2,1.725,1.083,2.9010000000000002,62.7
52,73.43,56.2,36.0,1.754,1.123,2.93,61.7
53,75.04,67.5,40.3,1.68,1.003,2.958,66.1
54,76.39,59.3,37.2,1.706,1.071,2.819,62.0
55,77.89,68.2,40.6,1.659,0.986,2.877,65.7
56,78.61,56.7,36.2,1.705,1.088,2.736,60.2
57,79.952,57.9,36.7,1.732,1.097,2.885,62.0
58,81.348,60.0,37.5,1.704,1.065,2.832,62.4
59,82.485,64.1,39.1,1.689,1.0290000000000001,2.897,64.5
60,83.652,59.8,37.4,1.732,1.084,2.951,63.3
61,85.01899999999999,93.3,48.3,1.5119999999999998,0.782,2.722,71.3
62,85.87700000000001,59.4,37.3,1.685,1.057,2.7310000000000003,61.3
63,86.985,62.9,38.6,1.625,0.998,2.575,61.3
64,87.84299999999999,52.2,34.3,1.732,1.138,2.708,58.0
65,89.49,56.2,36.0,1.746,1.1179999999999999,2.891,61.3
