,Depth CSF-B (m),Magnetic susceptibility (instr. units)
0,0.0,42.0
1,0.0,35.6
2,0.025,18.0
3,0.025,77.2
4,0.025,63.0
5,0.049,67.0
6,0.05,20.8
7,0.05,84.4
8,0.07400000000000001,63.4
9,0.07400000000000001,22.0
10,0.075,84.4
11,0.098,61.0
12,0.099,22.2
13,0.099,79.2
14,0.12300000000000001,62.0
15,0.124,24.0
16,0.124,66.8
17,0.147,65.0
18,0.149,61.8
19,0.149,26.6
20,0.172,67.0
21,0.174,65.6
22,0.174,27.0
23,0.196,66.2
24,0.19899999999999998,69.8
25,0.19899999999999998,25.2
26,0.221,69.8
27,0.22399999999999998,24.4
28,0.22399999999999998,71.6
29,0.245,79.2
30,0.248,22.0
31,0.249,66.4
32,0.27,90.8
33,0.273,18.6
34,0.273,62.0
35,0.294,91.6
36,0.298,16.8
37,0.298,66.2
38,0.319,89.4
39,0.32299999999999995,15.8
40,0.32299999999999995,70.2
41,0.34299999999999997,70.4
42,0.348,70.8
43,0.348,15.4
44,0.368,45.6
45,0.373,14.2
46,0.373,75.6
47,0.39299999999999996,35.2
48,0.39799999999999996,62.6
49,0.41700000000000004,32.6
50,0.42200000000000004,41.8
51,0.442,30.6
52,0.447,33.4
53,0.466,29.8
54,0.47200000000000003,31.8
55,0.491,29.0
56,0.49700000000000005,31.2
57,0.508,14.2
58,0.515,27.8
59,0.522,29.8
60,0.5329999999999999,20.0
61,0.54,28.6
62,0.547,28.4
63,0.557,28.6
64,0.564,34.8
65,0.5720000000000001,27.4
66,0.5820000000000001,38.2
67,0.589,43.0
68,0.596,27.8
69,0.607,48.2
70,0.613,36.8
71,0.621,31.0
72,0.632,51.0
73,0.638,30.0
74,0.6459999999999999,37.4
75,0.657,46.6
76,0.662,26.0
77,0.6709999999999999,41.0
78,0.682,48.4
79,0.687,23.0
80,0.696,35.0
81,0.7070000000000001,54.6
82,0.711,20.6
83,0.721,29.0
84,0.732,60.8
85,0.736,19.0
86,0.746,26.0
87,0.757,65.6
88,0.76,17.6
89,0.77,22.8
90,0.7809999999999999,74.0
91,0.785,15.0
92,0.795,19.4
93,0.8059999999999999,80.4
94,0.809,14.2
95,0.82,17.6
96,0.831,83.8
97,0.8340000000000001,14.0
98,0.845,16.0
99,0.856,97.8
100,0.858,15.6
101,0.87,14.4
102,0.8809999999999999,84.0
103,0.883,18.0
104,0.895,14.2
105,0.9079999999999999,19.2
106,0.919,13.0
107,0.932,19.4
108,0.9440000000000001,12.8
109,0.9570000000000001,19.8
110,0.9690000000000001,13.6
111,0.981,19.2
112,0.9940000000000001,18.0
113,1.006,20.6
114,1.0070000000000001,17.0
115,1.0190000000000001,83.4
116,1.0190000000000001,19.8
117,1.03,23.8
118,1.032,20.6
119,1.044,60.2
120,1.044,21.2
121,1.055,25.8
122,1.057,24.0
123,1.068,45.0
124,1.068,21.2
125,1.079,25.2
126,1.081,26.6
127,1.093,45.4
128,1.093,21.2
129,1.104,22.0
130,1.1059999999999999,26.2
131,1.1179999999999999,47.8
132,1.1179999999999999,21.0
133,1.128,18.0
134,1.13,25.0
135,1.143,45.8
136,1.143,22.4
137,1.153,15.0
138,1.155,22.8
139,1.168,43.0
140,1.168,25.0
141,1.177,12.0
142,1.179,19.6
143,1.193,28.0
144,1.193,46.0
145,1.202,9.6
146,1.204,17.2
147,1.218,29.2
148,1.218,63.0
149,1.226,3.8
150,1.228,15.8
151,1.242,92.8
152,1.242,27.8
153,1.251,4.0
154,1.253,18.4
155,1.266,11.8
156,1.2670000000000001,24.8
157,1.2670000000000001,111.0
158,1.2770000000000001,18.2
159,1.29,17.0
160,1.2919999999999998,22.6
161,1.2919999999999998,111.4
162,1.3019999999999998,19.2
163,1.315,22.2
164,1.317,19.8
165,1.317,110.2
166,1.327,20.2
167,1.339,28.0
168,1.3419999999999999,17.6
169,1.3419999999999999,105.0
170,1.351,22.0
171,1.364,35.0
172,1.367,75.4
173,1.367,17.0
174,1.376,26.0
175,1.3880000000000001,40.4
176,1.392,17.8
177,1.413,39.0
178,1.416,15.8
179,1.4369999999999998,38.0
180,1.4409999999999998,19.0
181,1.462,44.0
182,1.466,20.2
183,1.486,48.0
184,1.4880000000000002,40.6
185,1.4909999999999999,18.0
186,1.499,45.0
187,1.511,20.0
188,1.511,52.0
189,1.5130000000000001,45.8
190,1.524,38.0
191,1.535,55.6
192,1.536,19.0
193,1.537,43.6
194,1.5490000000000002,30.0
195,1.56,57.0
196,1.561,17.0
197,1.5619999999999998,45.4
198,1.574,20.2
199,1.584,56.2
200,1.5859999999999999,21.4
201,1.587,49.8
202,1.599,15.4
203,1.609,58.6
204,1.61,29.0
205,1.611,56.6
206,1.6230000000000002,15.6
207,1.6340000000000001,68.0
208,1.635,33.4
209,1.636,57.4
210,1.6480000000000001,20.4
211,1.6580000000000001,78.8
212,1.66,61.2
213,1.66,41.2
214,1.673,23.2
215,1.683,93.4
216,1.685,52.8
217,1.685,74.0
218,1.6980000000000002,22.4
219,1.7069999999999999,85.0
220,1.71,102.4
221,1.71,61.4
222,1.723,20.6
223,1.732,80.6
224,1.734,139.0
225,1.734,64.2
226,1.7469999999999999,19.0
227,1.756,72.6
228,1.7590000000000001,66.6
229,1.7590000000000001,86.0
230,1.7719999999999998,18.0
231,1.781,38.6
232,1.7830000000000001,60.4
233,1.784,71.2
234,1.797,17.6
235,1.805,24.6
236,1.808,51.4
237,1.8090000000000002,73.2
238,1.8219999999999998,17.4
239,1.83,24.6
240,1.8319999999999999,31.8
241,1.834,73.0
242,1.847,17.2
243,1.854,34.2
244,1.857,31.6
245,1.859,80.6
246,1.8719999999999999,17.4
247,1.879,43.4
248,1.883,110.2
249,1.903,47.0
250,1.9080000000000001,123.2
251,1.9280000000000002,44.4
252,1.933,117.0
253,1.952,45.2
254,1.9580000000000002,59.2
255,1.9680000000000002,34.8
256,1.9769999999999999,51.2
257,1.983,25.8
258,1.993,41.2
259,2.0,24.0
260,2.002,55.2
261,2.0069999999999997,22.0
262,2.017,42.2
263,2.025,27.6
264,2.026,56.0
265,2.032,27.4
266,2.042,47.0
267,2.05,25.2
268,2.051,61.0
269,2.057,33.2
270,2.0669999999999997,62.0
271,2.074,22.2
272,2.075,79.8
273,2.082,38.6
274,2.0909999999999997,92.0
275,2.099,20.0
276,2.1,105.2
277,2.1069999999999998,43.8
278,2.116,127.0
279,2.124,124.0
280,2.124,20.0
281,2.131,43.8
282,2.14,161.2
283,2.149,21.4
284,2.149,137.4
285,2.156,45.0
286,2.165,168.0
287,2.173,118.2
288,2.174,23.0
289,2.181,48.2
290,2.19,136.4
291,2.198,77.0
292,2.199,25.2
293,2.206,49.6
294,2.214,85.0
295,2.222,49.6
296,2.224,27.0
297,2.231,50.0
298,2.239,67.0
299,2.247,38.0
300,2.249,28.2
301,2.256,56.6
302,2.263,45.4
303,2.271,48.8
304,2.274,29.4
305,2.28,73.6
306,2.2880000000000003,47.6
307,2.296,82.0
308,2.298,31.6
309,2.305,94.4
310,2.313,75.4
311,2.32,114.6
312,2.323,31.0
313,2.33,124.8
314,2.3369999999999997,90.6
315,2.345,86.8
316,2.3480000000000003,28.4
317,2.355,155.0
318,2.362,56.2
319,2.369,49.0
320,2.373,22.0
321,2.38,175.4
322,2.394,32.4
323,2.405,147.4
324,2.418,23.0
325,2.4290000000000003,94.4
326,2.443,16.0
327,2.454,57.8
328,2.4619999999999997,26.8
329,2.468,13.4
330,2.479,40.2
331,2.487,21.6
332,2.492,14.6
333,2.4930000000000003,21.0
334,2.496,38.2
335,2.511,23.2
336,2.517,17.0
337,2.5180000000000002,26.2
338,2.521,42.8
339,2.536,24.6
340,2.541,20.4
341,2.543,28.0
342,2.545,43.0
343,2.56,24.0
344,2.5660000000000003,24.8
345,2.568,28.4
346,2.57,42.4
347,2.585,22.4
348,2.59,27.6
349,2.593,28.6
350,2.595,45.8
351,2.609,20.8
352,2.615,28.6
353,2.6180000000000003,28.6
354,2.62,54.2
355,2.634,20.8
356,2.639,27.8
357,2.642,27.2
358,2.645,58.8
359,2.658,21.8
360,2.6639999999999997,26.4
361,2.667,26.4
362,2.67,39.4
363,2.6830000000000003,20.0
364,2.688,23.4
365,2.6919999999999997,24.0
366,2.695,24.4
367,2.708,19.4
368,2.713,20.0
369,2.717,23.6
370,2.719,20.0
371,2.7319999999999998,20.2
372,2.742,22.4
373,2.7439999999999998,21.4
374,2.7489999999999997,16.4
375,2.7560000000000002,25.2
376,2.767,21.6
377,2.7689999999999997,24.6
378,2.7739999999999996,20.2
379,2.781,30.4
380,2.7910000000000004,20.0
381,2.7939999999999996,25.4
382,2.798,23.4
383,2.806,31.0
384,2.8160000000000003,19.0
385,2.819,24.2
386,2.823,26.8
387,2.83,28.8
388,2.841,17.8
389,2.844,23.2
390,2.847,29.8
391,2.855,23.0
392,2.866,15.8
393,2.8689999999999998,23.2
394,2.872,32.0
395,2.8939999999999997,25.4
396,2.8960000000000004,31.2
397,2.918,33.8
398,2.9210000000000003,26.0
399,2.943,39.6
400,2.945,20.4
401,2.968,30.2
402,2.97,17.2
403,2.972,23.4
404,2.992,16.6
405,2.9930000000000003,23.0
406,2.9939999999999998,17.8
407,2.9960000000000004,25.0
408,3.017,19.8
409,3.0180000000000002,18.2
410,3.0189999999999997,22.6
411,3.0210000000000004,28.0
412,3.042,20.2
413,3.043,13.0
414,3.043,27.4
415,3.045,30.8
416,3.0669999999999997,20.4
417,3.068,31.4
418,3.07,33.6
419,3.091,21.0
420,3.092,33.0
421,3.095,35.6
422,3.116,21.8
423,3.117,35.6
424,3.1189999999999998,35.0
425,3.141,24.0
426,3.142,37.8
427,3.1439999999999997,33.4
428,3.1660000000000004,38.0
429,3.1660000000000004,25.6
430,3.168,33.4
431,3.1910000000000003,35.4
432,3.1910000000000003,26.4
433,3.193,33.0
434,3.2,14.0
435,3.215,32.6
436,3.216,20.6
437,3.217,31.2
438,3.225,21.0
439,3.24,16.2
440,3.24,31.8
441,3.242,29.0
442,3.25,22.4
443,3.264,29.4
444,3.265,16.8
445,3.266,29.0
446,3.275,25.2
447,3.2889999999999997,27.4
448,3.29,20.0
449,3.2910000000000004,29.2
450,3.3,33.6
451,3.313,28.0
452,3.315,26.6
453,3.315,26.6
454,3.325,43.4
455,3.338,29.4
456,3.34,28.2
457,3.35,51.8
458,3.362,30.0
459,3.365,25.2
460,3.375,59.0
461,3.387,31.0
462,3.4,67.8
463,3.411,31.0
464,3.425,63.0
465,3.4360000000000004,29.8
466,3.445,21.8
467,3.45,53.4
468,3.46,29.4
469,3.469,23.2
470,3.475,49.0
471,3.4819999999999998,21.4
472,3.485,29.6
473,3.4939999999999998,22.4
474,3.5,44.8
475,3.5060000000000002,24.6
476,3.509,28.2
477,3.5180000000000002,21.8
478,3.525,38.4
479,3.531,28.4
480,3.534,26.6
481,3.543,21.6
482,3.55,29.4
483,3.556,28.8
484,3.5580000000000003,22.8
485,3.568,21.6
486,3.575,25.0
487,3.5810000000000004,28.0
488,3.583,21.2
489,3.592,21.8
490,3.6,24.4
491,3.6060000000000003,26.0
492,3.6069999999999998,19.8
493,3.617,19.8
494,3.625,26.2
495,3.6310000000000002,22.0
496,3.6319999999999997,18.6
497,3.641,19.0
498,3.65,27.6
499,3.656,21.0
500,3.656,17.2
501,3.6660000000000004,19.4
502,3.675,28.2
503,3.681,21.0
504,3.681,18.4
505,3.6910000000000003,19.8
506,3.7,28.0
507,3.705,18.4
508,3.7060000000000004,20.8
509,3.715,21.4
510,3.725,26.6
511,3.73,20.8
512,3.73,19.0
513,3.74,22.4
514,3.75,24.6
515,3.7539999999999996,20.6
516,3.755,21.6
517,3.764,22.4
518,3.775,22.0
519,3.779,21.8
520,3.78,23.6
521,3.7889999999999997,21.2
522,3.8,17.6
523,3.803,20.4
524,3.805,25.4
525,3.8139999999999996,20.2
526,3.825,20.2
527,3.8280000000000003,20.8
528,3.83,27.2
529,3.838,15.8
530,3.85,29.4
531,3.853,22.6
532,3.855,25.6
533,3.875,32.0
534,3.877,23.4
535,3.9,28.8
536,3.9019999999999997,22.0
537,3.911,19.4
538,3.925,24.8
539,3.9360000000000004,21.6
540,3.948,15.2
541,3.95,23.8
542,3.96,19.0
543,3.972,16.6
544,3.975,23.4
545,3.985,17.6
546,3.991,21.0
547,3.997,22.6
548,4.0,22.0
549,4.0089999999999995,19.0
550,4.016,18.6
551,4.021,28.2
552,4.025,21.0
553,4.034,23.0
554,4.041,18.0
555,4.046,28.4
556,4.05,21.0
557,4.058,28.2
558,4.065,17.6
559,4.071000000000001,27.0
560,4.075,20.0
561,4.083,28.8
562,4.09,18.0
563,4.095,24.0
564,4.1,17.6
565,4.107,28.6
566,4.115,20.0
567,4.12,23.6
568,4.125,17.8
569,4.132,26.4
570,4.14,22.2
571,4.144,23.8
572,4.15,18.8
573,4.156000000000001,22.4
574,4.165,22.8
575,4.169,25.0
576,4.175,19.8
577,4.181,20.6
578,4.19,24.0
579,4.194,28.8
580,4.2,22.0
581,4.205,21.8
582,4.215,28.0
583,4.218,31.0
584,4.225,23.0
585,4.23,24.8
586,4.239,38.0
587,4.243,30.6
588,4.25,23.0
589,4.255,28.4
590,4.263999999999999,59.2
591,4.2669999999999995,29.0
592,4.275,22.0
593,4.279,30.0
594,4.289,63.8
595,4.292,26.2
596,4.3,23.6
597,4.303999999999999,29.6
598,4.314,51.6
599,4.317,20.6
600,4.325,24.4
601,4.328,29.0
602,4.3389999999999995,40.0
603,4.35,24.8
604,4.353,26.6
605,4.364,29.8
606,4.375,25.0
607,4.377,23.0
608,4.4,24.4
609,4.402,21.6
610,4.425,22.6
