,Depth CSF-B (m),NGR total counts (cps)
0,0.0,27.701999999999998
1,0.0,27.325
2,0.098,30.226
3,0.099,29.675
4,0.196,35.205999999999996
5,0.19899999999999998,34.705999999999996
6,0.294,38.662
7,0.298,40.256
8,0.39299999999999996,38.507
9,0.39799999999999996,37.574
10,0.491,37.624
11,0.49700000000000005,44.801
12,0.589,31.320999999999998
13,0.596,38.848
14,0.687,27.518
15,0.696,40.201
16,0.785,23.396
17,0.795,28.586
18,0.883,23.281999999999996
19,0.895,24.721999999999998
20,0.981,24.193
21,0.9940000000000001,23.6
22,1.079,25.287
23,1.093,25.903000000000002
24,1.177,23.688000000000002
25,1.193,28.226
26,1.256,24.061999999999998
27,1.2919999999999998,27.559
28,1.354,21.342
29,1.392,26.212
30,1.452,21.116
31,1.4909999999999999,28.189
32,1.4909999999999999,22.365
33,1.55,20.139
34,1.59,24.959
35,1.649,21.714000000000002
36,1.69,23.563000000000002
37,1.7469999999999999,24.166999999999998
38,1.7890000000000001,23.872
39,1.845,23.004
40,1.8880000000000001,25.611
41,1.943,22.028000000000002
42,1.9880000000000002,26.000999999999998
43,2.041,25.331999999999997
44,2.0869999999999997,23.304000000000002
45,2.1390000000000002,29.389
46,2.186,23.554000000000002
47,2.237,29.11
48,2.285,27.171999999999997
49,2.335,28.146
50,2.385,31.971999999999998
51,2.434,25.226
52,2.484,23.197
53,2.484,30.693
54,2.532,26.729
55,2.583,25.944000000000003
56,2.63,27.525
57,2.6830000000000003,26.603
58,2.728,24.447
59,2.728,26.659000000000002
60,2.782,27.142
61,2.826,24.815
62,2.8819999999999997,26.264
63,2.924,26.406
64,2.9810000000000003,28.113000000000003
65,3.022,26.079
66,3.12,28.566999999999997
67,3.2,34.321999999999996
68,3.218,32.284
69,3.3,30.158
70,3.3169999999999997,28.944000000000003
71,3.4,32.029
72,3.415,29.898000000000003
73,3.5,36.576
74,3.513,33.792
75,3.6,36.818000000000005
76,3.611,34.169000000000004
77,3.7,38.814
78,3.7089999999999996,30.413
79,3.8,38.554
80,3.807,27.151
81,3.9,39.918
82,3.905,28.538
83,3.905,26.099
84,4.0,38.062
85,4.003,31.613000000000003
86,4.1,32.931999999999995
87,4.101,35.519
88,4.199,37.066
89,4.2,34.223
90,4.297,37.260999999999996
91,4.3,37.273
92,4.395,34.010999999999996
93,4.4,39.512
94,4.494,29.693
95,4.5,38.326
96,4.6,35.601
97,4.7,29.08
98,4.7,35.841
99,4.7,35.056
100,4.798,33.335
101,4.8,31.712
102,4.897,34.129
103,4.9,31.269000000000002
104,4.995,37.719
105,5.0,31.959
106,5.093,39.986999999999995
107,5.1,33.368
108,5.192,38.607
109,5.2,36.851
110,5.29,36.191
111,5.3,39.454
112,5.388,34.698
113,5.4,32.488
114,5.487,31.971999999999998
115,5.5,21.069000000000003
116,5.585,31.959
117,5.6,19.152
118,5.683,33.183
119,5.7,24.653000000000002
120,5.782,33.006
121,5.8,24.013
122,5.88,36.516
123,5.9,25.669
124,5.978,39.352
125,6.0,28.976
126,6.077000000000001,36.426
127,6.1,26.741
128,6.175,26.695999999999998
129,6.175,15.552999999999999
130,6.2,29.534000000000002
131,6.2,22.879
132,6.273,14.338
133,6.3,32.518
134,6.372000000000001,15.975999999999999
135,6.4,30.945999999999998
136,6.47,22.736
137,6.5,26.616
138,6.568,27.964000000000002
139,6.6,25.750999999999998
140,6.667000000000001,26.694000000000003
141,6.7,29.590999999999998
142,6.765,27.910999999999998
143,6.8,27.698
144,6.8629999999999995,28.791
145,6.9,28.434
146,6.962000000000001,27.831999999999997
147,7.0,30.351999999999997
148,7.06,31.561999999999998
149,7.1,35.122
150,7.1579999999999995,35.866
151,7.2,32.336
152,7.257000000000001,32.643
153,7.3,30.875999999999998
154,7.355,26.476
155,7.4,33.869
156,7.452999999999999,26.246
157,7.5,34.279
158,7.5,37.719
159,7.5520000000000005,29.723000000000003
160,7.6,31.160999999999998
161,7.6,38.835
162,7.65,28.404
163,7.65,25.631
164,7.699,29.879
165,7.7,35.075
166,7.7,42.156000000000006
167,7.747999999999999,26.4
168,7.7989999999999995,35.416
169,7.8,43.481
170,7.847,29.855999999999998
171,7.899,37.357
172,7.9,46.036
173,7.945,36.713
174,7.997999999999999,38.604
175,8.0,44.43899999999999
176,8.043,32.264
177,8.097999999999999,35.861
178,8.1,43.841
179,8.142000000000001,29.096999999999998
180,8.198,36.580999999999996
181,8.2,45.583999999999996
182,8.24,31.454
183,8.297,33.596
184,8.3,45.478
185,8.338,35.781
186,8.397,31.109
187,8.4,41.843999999999994
188,8.437000000000001,39.516
189,8.497,30.866
190,8.5,40.686
191,8.535,41.236000000000004
192,8.596,33.173
193,8.6,44.159
194,8.633,42.026
195,8.696,34.711999999999996
196,8.7,44.963
197,8.732000000000001,46.15
198,8.796,37.444
199,8.8,43.273
200,8.83,44.096000000000004
201,8.895,36.125
202,8.9,42.519
203,8.927999999999999,43.122
204,8.995,17.129
205,9.0,41.00899999999999
206,9.027000000000001,42.84
207,9.095,15.083
208,9.1,40.689
209,9.125,40.132
210,9.125,46.486999999999995
211,9.193999999999999,15.895999999999999
212,9.2,46.995
213,9.2,38.485
214,9.222999999999999,45.795
215,9.294,20.791999999999998
216,9.3,44.894
217,9.322000000000001,42.099
218,9.394,24.987
219,9.4,44.538999999999994
220,9.42,43.699
221,9.494,25.570999999999998
222,9.5,46.893
223,9.517999999999999,42.446999999999996
224,9.593,28.754
225,9.6,46.446999999999996
226,9.617,46.167
227,9.693,27.484
228,9.7,46.951
229,9.715,42.218
230,9.793,26.572
231,9.8,44.681000000000004
232,9.812999999999999,42.803999999999995
233,9.892999999999999,31.369
234,9.9,45.758
235,9.912,41.82899999999999
236,9.992,32.116
237,10.0,47.412
238,10.01,42.242
239,10.092,26.336
240,10.1,47.376000000000005
241,10.107999999999999,43.883
242,10.192,24.839000000000002
243,10.2,47.696000000000005
244,10.207,44.663000000000004
245,10.292,28.506999999999998
246,10.3,44.74
247,10.305,43.461999999999996
248,10.390999999999998,27.619
249,10.4,44.236000000000004
250,10.402999999999999,44.662
251,10.491,28.284000000000002
252,10.5,46.019
253,10.502,45.588
254,10.591,29.253
255,10.6,47.727
256,10.6,42.901
257,10.6,45.666000000000004
258,10.69,33.676
259,10.698,43.294
260,10.7,36.633
261,10.7,50.342
262,10.79,36.069
263,10.797,44.456
264,10.8,38.522
265,10.89,31.864
266,10.895,46.346000000000004
267,10.9,39.635999999999996
268,10.989,32.181
269,10.994000000000002,47.411
270,11.0,43.486000000000004
271,11.089,34.748000000000005
272,11.092,47.284
273,11.1,44.537
274,11.189,39.431
275,11.19,47.731
276,11.2,44.771
277,11.288,40.546
278,11.289000000000001,46.434
279,11.3,41.881
280,11.387,44.489
281,11.388,43.361999999999995
282,11.4,42.678000000000004
283,11.485999999999999,45.229
284,11.488,47.2
285,11.5,42.772
286,11.584000000000001,47.42
287,11.587,45.163000000000004
288,11.6,43.288999999999994
289,11.682,46.113
290,11.687000000000001,42.972
291,11.7,41.236000000000004
292,11.780999999999999,43.272
293,11.787,45.854
294,11.8,41.14
295,11.879000000000001,41.716
296,11.886,39.791
297,11.9,35.066
298,11.978,43.532
299,11.985999999999999,46.523
300,12.0,32.908
301,12.075999999999999,41.673
302,12.075999999999999,47.36600000000001
303,12.085999999999999,43.42
304,12.1,33.839
305,12.174000000000001,44.483999999999995
306,12.185,40.389
307,12.273,43.931999999999995
308,12.285,44.693000000000005
309,12.370999999999999,43.089
310,12.385,43.67100000000001
311,12.469000000000001,43.841
312,12.484000000000002,43.534
313,12.567,43.107
314,12.584000000000001,42.401
315,12.665999999999999,43.031000000000006
316,12.684000000000001,41.114
317,12.7,40.724000000000004
318,12.764000000000001,40.494
319,12.783,41.396
320,12.8,41.448
321,12.862,39.256
322,12.883,43.699
323,12.9,42.43600000000001
324,12.960999999999999,34.772
325,12.982999999999999,45.316
326,13.0,45.103
327,13.059000000000001,36.16
328,13.082,45.166000000000004
329,13.1,46.034
330,13.157,40.473
