,Depth CSF-B (m),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z
0,0.02,25.0,4.5,6.7,4.5,4.4,3.5
1,0.025,36.9,4.9,6.8,9.6,9.5,8.1
2,0.03,25.9,4.5,4.8,4.8,4.7,4.1
3,0.04,34.2,5.7,9.2,8.3,8.1,6.2
4,0.049,43.4,3.9,3.2,13.3,13.4,13.1
5,0.05,39.9,0.6,-2.0,10.7,11.2,12.8
6,0.05,36.0,4.0,7.3,9.0,9.0,7.5
7,0.06,35.2,3.9,8.6,8.6,8.6,6.8
8,0.07,35.6,4.0,7.7,8.8,8.8,7.2
9,0.07400000000000001,38.4,3.4,4.9,10.2,10.3,9.4
10,0.08,36.9,4.1,8.9,9.5,9.5,7.5
11,0.08900000000000001,42.0,3.8,5.9,12.4,12.5,11.2
12,0.098,39.7,3.6,3.4,11.0,11.1,10.7
13,0.099,40.1,1.4,-2.5,10.9,11.3,13.1
14,0.099,39.1,3.5,7.4,10.6,10.7,9.0
15,0.109,36.0,4.8,8.0,9.1,9.0,7.3
16,0.11900000000000001,32.9,3.8,8.3,7.5,7.5,5.9
17,0.12300000000000001,42.3,3.8,3.1,12.6,12.7,12.4
18,0.129,31.8,4.7,7.7,7.1,7.0,5.6
19,0.139,30.9,3.6,8.4,6.6,6.6,5.1
20,0.147,37.3,4.1,7.0,9.7,9.7,8.2
21,0.149,44.1,1.4,-4.0,13.4,13.9,16.7
22,0.149,30.2,3.6,9.6,6.3,6.3,4.6
23,0.159,33.6,2.9,9.0,7.7,7.8,6.0
24,0.16899999999999998,34.2,4.8,8.4,8.2,8.1,6.4
25,0.172,31.3,3.6,8.7,6.8,6.8,5.2
26,0.179,35.4,3.1,7.0,8.6,8.7,7.3
27,0.18899999999999997,36.0,4.0,8.8,9.0,9.0,7.1
28,0.196,28.6,3.4,6.5,5.7,5.7,4.7
29,0.19899999999999998,38.7,4.2,6.8,10.5,10.5,9.0
30,0.19899999999999998,40.6,0.7,-1.9,11.1,11.6,13.2
31,0.209,34.2,3.9,11.4,8.1,8.1,5.7
32,0.21899999999999997,35.0,3.0,9.4,8.4,8.5,6.5
33,0.221,32.0,3.7,7.2,7.1,7.1,5.8
34,0.22899999999999998,35.2,3.9,8.6,8.6,8.6,6.8
35,0.239,35.8,4.0,8.0,8.9,8.9,7.2
36,0.245,31.1,2.6,6.1,6.6,6.7,5.7
37,0.248,42.0,1.0,-2.1,12.0,12.5,14.3
38,0.249,34.8,3.0,6.0,8.3,8.4,7.3
39,0.258,31.8,2.7,4.7,6.9,7.0,6.3
40,0.268,33.8,2.9,5.3,7.8,7.9,7.0
41,0.27,32.5,2.8,5.1,7.2,7.3,6.5
42,0.278,34.6,3.0,6.7,8.2,8.3,7.0
43,0.28800000000000003,35.0,3.0,5.9,8.4,8.5,7.4
44,0.294,30.4,2.5,6.2,6.3,6.4,5.4
45,0.298,36.2,2.3,6.2,8.9,9.1,7.9
46,0.298,40.6,1.5,-1.7,11.2,11.6,13.1
47,0.308,34.8,2.1,6.3,8.2,8.4,7.2
48,0.318,32.9,2.8,5.0,7.4,7.5,6.7
49,0.319,31.3,2.6,6.5,6.7,6.8,5.7
50,0.32799999999999996,34.0,2.0,7.6,7.8,8.0,6.5
51,0.33799999999999997,29.9,2.4,7.7,6.1,6.2,4.9
52,0.34299999999999997,34.2,3.0,7.6,8.0,8.1,6.6
53,0.348,39.7,1.3,-1.3,10.7,11.1,12.4
54,0.348,29.4,2.4,2.3,5.9,6.0,5.9
55,0.358,26.4,2.0,5.3,4.8,4.9,4.2
56,0.368,35.8,3.1,6.6,8.8,8.9,7.6
57,0.368,31.1,2.6,7.0,6.6,6.7,5.5
58,0.37799999999999995,33.4,2.9,7.0,7.6,7.7,6.4
59,0.38799999999999996,29.9,2.4,4.9,6.1,6.2,5.5
60,0.39299999999999996,34.2,3.0,6.4,8.0,8.1,6.9
61,0.39799999999999996,32.3,2.7,4.7,7.1,7.2,6.5
62,0.408,35.8,3.1,7.7,8.8,8.9,7.3
63,0.41700000000000004,34.4,3.0,8.4,8.1,8.2,6.5
64,0.41700000000000004,38.6,2.7,2.8,10.2,10.4,10.2
65,0.42700000000000005,34.0,2.9,9.3,7.9,8.0,6.1
66,0.43700000000000006,33.6,2.9,8.6,7.7,7.8,6.1
67,0.442,34.0,2.9,6.5,7.9,8.0,6.8
68,0.447,33.8,2.9,9.4,7.8,7.9,6.0
69,0.457,33.6,2.9,9.4,7.7,7.8,5.9
70,0.466,33.8,2.0,4.9,7.7,7.9,7.1
71,0.467,33.4,3.8,8.6,7.7,7.7,6.0
72,0.47700000000000004,33.4,2.9,9.5,7.6,7.7,5.8
73,0.48700000000000004,34.0,2.9,8.5,7.9,8.0,6.3
74,0.491,38.7,2.7,3.7,10.3,10.5,10.0
75,0.49700000000000005,34.4,3.0,6.4,8.1,8.2,7.0
76,0.507,34.2,3.0,4.9,8.0,8.1,7.3
77,0.515,43.8,2.7,1.2,13.4,13.7,14.2
78,0.517,36.4,3.2,3.7,9.1,9.2,8.7
79,0.527,37.7,2.5,1.9,9.7,9.9,10.0
80,0.537,38.4,1.8,2.2,10.0,10.3,10.3
81,0.54,42.6,2.5,2.4,12.6,12.9,12.9
82,0.547,36.4,2.4,1.2,9.0,9.2,9.5
83,0.547,33.8,1.0,-1.1,7.6,7.9,8.8
84,0.557,39.2,2.7,3.1,10.6,10.8,10.5
85,0.564,40.4,2.2,3.7,11.2,11.5,11.0
86,0.5670000000000001,37.8,2.6,4.7,9.8,10.0,9.2
87,0.5770000000000001,38.9,2.7,3.7,10.4,10.6,10.1
88,0.586,40.1,2.9,3.4,11.1,11.3,10.9
89,0.589,42.2,2.4,2.1,12.3,12.6,12.7
90,0.596,41.7,3.1,2.6,12.1,12.3,12.2
91,0.597,40.1,1.4,-0.2,10.9,11.3,12.2
92,0.606,41.7,2.4,2.3,12.0,12.3,12.3
93,0.613,35.6,2.2,4.5,8.6,8.8,8.1
94,0.616,41.8,3.1,1.8,12.2,12.4,12.6
95,0.626,42.0,2.4,2.3,12.2,12.5,12.5
96,0.636,41.7,3.1,2.1,12.1,12.3,12.4
97,0.638,34.8,1.2,3.4,8.1,8.4,8.0
98,0.6459999999999999,41.8,2.4,2.6,12.1,12.4,12.3
99,0.6459999999999999,43.1,1.9,-1.0,12.8,13.2,14.6
100,0.6559999999999999,42.8,2.5,2.6,12.7,13.0,12.9
101,0.662,40.4,1.4,1.5,11.1,11.5,11.8
102,0.6659999999999999,43.1,2.6,2.6,12.9,13.2,13.1
103,0.6759999999999999,42.6,3.2,1.6,12.7,12.9,13.2
104,0.6859999999999999,40.6,2.2,3.1,11.3,11.6,11.3
105,0.687,40.1,1.4,0.9,10.9,11.3,11.8
106,0.696,41.8,2.4,3.1,12.1,12.4,12.1
107,0.696,42.9,1.2,-0.3,12.6,13.1,14.2
108,0.706,36.7,2.4,3.7,9.2,9.4,8.9
109,0.711,33.1,0.9,2.4,7.3,7.6,7.5
110,0.716,37.7,1.7,4.4,9.6,9.9,9.2
111,0.726,36.0,1.4,4.1,8.7,9.0,8.4
112,0.736,35.2,0.4,1.7,8.2,8.6,8.7
113,0.736,42.2,1.1,0.8,12.1,12.6,13.2
114,0.746,40.2,2.1,1.2,11.1,11.4,11.8
115,0.746,41.1,1.6,-0.8,11.5,11.9,13.1
116,0.755,38.6,1.1,2.5,10.0,10.4,10.3
117,0.76,34.4,1.1,2.7,7.9,8.2,8.0
118,0.765,37.8,1.8,2.8,9.7,10.0,9.8
119,0.775,35.6,1.4,1.4,8.5,8.8,9.0
120,0.785,34.4,1.1,2.7,7.9,8.2,8.0
121,0.785,36.2,0.6,1.8,8.7,9.1,9.2
122,0.795,34.2,1.1,2.0,7.8,8.1,8.1
123,0.7959999999999999,42.3,1.8,-0.4,12.3,12.7,13.8
124,0.805,32.5,0.8,2.7,7.0,7.3,7.1
125,0.81,34.4,1.1,2.4,7.9,8.2,8.1
126,0.815,32.7,0.8,3.1,7.1,7.4,7.1
127,0.825,32.7,0.8,3.1,7.1,7.4,7.1
128,0.8340000000000001,39.4,0.5,0.8,10.4,10.9,11.4
129,0.835,32.7,0.8,2.3,7.1,7.4,7.3
130,0.845,33.4,0.0,3.1,7.3,7.7,7.4
131,0.846,43.5,0.7,-0.7,12.9,13.5,14.8
132,0.855,32.7,0.8,2.3,7.1,7.4,7.3
133,0.8590000000000001,33.4,0.9,0.9,7.4,7.7,8.0
134,0.865,34.6,1.2,1.7,8.0,8.3,8.4
135,0.875,34.4,0.2,2.7,7.8,8.2,8.0
136,0.883,36.7,0.7,0.6,9.0,9.4,9.9
137,0.885,34.6,1.2,2.0,8.0,8.3,8.3
138,0.895,34.8,0.3,2.7,8.0,8.4,8.2
139,0.905,32.9,-0.1,3.5,7.1,7.5,7.1
140,0.9079999999999999,33.6,0.0,0.9,7.4,7.8,8.1
141,0.914,32.9,-0.1,3.5,7.1,7.5,7.1
142,0.924,32.9,0.9,2.7,7.2,7.5,7.3
143,0.932,32.7,0.8,0.9,7.1,7.4,7.7
144,0.934,34.0,0.1,3.1,7.6,8.0,7.7
145,0.9440000000000001,34.6,0.3,3.4,7.9,8.3,7.9
146,0.9540000000000001,35.2,0.4,2.7,8.2,8.6,8.4
147,0.9570000000000001,32.3,0.7,0.1,6.9,7.2,7.7
148,0.9640000000000001,35.2,1.3,2.7,8.3,8.6,8.4
149,0.9740000000000001,35.8,0.5,2.4,8.5,8.9,8.8
150,0.981,32.0,0.7,0.1,6.8,7.1,7.6
151,0.9840000000000001,36.4,0.7,1.8,8.8,9.2,9.3
152,0.9940000000000001,36.2,0.6,2.4,8.7,9.1,9.0
153,1.004,33.1,0.9,1.3,7.3,7.6,7.8
154,1.006,31.8,0.6,-0.3,6.7,7.0,7.6
155,1.008,31.3,0.5,0.4,6.5,6.8,7.2
156,1.014,32.3,-0.3,2.3,6.8,7.2,7.1
157,1.024,33.1,0.9,1.6,7.3,7.6,7.7
158,1.03,31.8,0.6,0.4,6.7,7.0,7.4
159,1.032,33.8,0.1,-0.1,7.5,7.9,8.5
160,1.034,32.5,-0.2,1.6,6.9,7.3,7.4
161,1.044,32.9,0.9,1.6,7.2,7.5,7.6
162,1.045,38.7,1.1,-0.6,10.1,10.5,11.5
163,1.054,30.9,0.4,1.1,6.3,6.6,6.8
164,1.055,33.8,1.0,0.3,7.6,7.9,8.4
165,1.057,33.4,0.9,0.6,7.4,7.7,8.1
166,1.064,30.9,0.4,2.3,6.3,6.6,6.5
167,1.074,30.6,0.4,3.1,6.2,6.5,6.2
168,1.079,35.2,1.3,-0.8,8.3,8.6,9.5
169,1.081,32.7,0.8,1.2,7.1,7.4,7.6
170,1.083,29.4,0.1,3.1,5.7,6.0,5.7
171,1.093,27.8,1.0,1.8,5.2,5.4,5.4
172,1.094,40.7,0.8,-0.4,11.2,11.7,12.7
173,1.103,31.8,0.6,2.3,6.7,7.0,6.9
174,1.104,34.4,1.1,0.3,7.9,8.2,8.7
175,1.1059999999999999,35.4,0.4,0.1,8.3,8.7,9.3
176,1.113,33.6,1.0,0.6,7.5,7.8,8.2
177,1.123,33.8,0.1,1.3,7.5,7.9,8.1
178,1.128,34.6,0.3,0.4,7.9,8.3,8.8
179,1.13,33.6,1.0,-0.1,7.5,7.8,8.4
180,1.133,33.8,0.1,1.0,7.5,7.9,8.2
181,1.143,33.4,0.0,0.2,7.3,7.7,8.2
182,1.1440000000000001,37.1,0.8,-1.7,9.2,9.6,10.9
183,1.153,33.8,1.0,0.3,7.6,7.9,8.4
184,1.153,31.8,-0.4,0.4,6.6,7.0,7.4
185,1.155,34.2,0.2,0.3,7.7,8.1,8.6
186,1.163,30.9,0.4,1.9,6.3,6.6,6.6
187,1.173,32.9,-0.1,0.9,7.1,7.5,7.8
188,1.177,34.6,1.2,-0.9,8.0,8.3,9.2
189,1.179,34.4,0.2,0.3,7.8,8.2,8.7
190,1.183,32.7,0.8,0.2,7.1,7.4,7.9
191,1.193,32.5,-0.2,0.9,6.9,7.3,7.6
192,1.194,40.6,0.7,-1.4,11.1,11.6,13.0
193,1.202,38.7,1.1,0.8,10.1,10.5,11.0
194,1.203,32.9,-0.1,0.5,7.1,7.5,7.9
195,1.204,34.0,1.1,2.0,7.7,8.0,8.0
196,1.213,32.3,0.7,0.5,6.9,7.2,7.6
