"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Bulk density (GRA)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","1","","2.5","0.025","0.025","1.169","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","5.0","0.050","0.050","1.376","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","7.5","0.075","0.075","1.447","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","10.0","0.100","0.099","1.478","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","12.5","0.125","0.124","1.378","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","15.0","0.150","0.149","1.356","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","17.5","0.175","0.174","1.329","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","20.0","0.200","0.199","1.32","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","22.5","0.225","0.224","1.345","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","25.0","0.250","0.248","1.353","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","27.5","0.275","0.273","1.306","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","30.0","0.300","0.298","1.299","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","32.5","0.325","0.323","1.395","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","35.0","0.350","0.348","1.498","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
"349","U1431","A","1","H","1","","37.5","0.375","0.373","1.318","2014-02-01 05:20:24","GRA1","WRMSL","SECT5292831","55236701","","",""
