"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Submethod","Moisture dry (wt%)","Moisture wet (wt%)","Bulk density (g/cm³)","Dry density (g/cm³)","Grain density (g/cm³)","Porosity (vol%)","Void ratio","Container number","Mass wet sample (g)","Mass dried sample (g)","Mass porewater (g)","Mass salt (g)","Mass solids (g)","Vol wet sample (cm³)","Vol dried sample (cm³)","Vol porewater (cm³)","Vol salt (cm³)","Vol solids (cm³)","Timestamp (UTC)","Text ID","Test No.","Sample comments"
"349","U1431","D","1","H","1","W","75.0","0.750","0.745","C","189.5","65.5","1.310","0.452","2.777","83.7","5.138","4861","10.436","3.844","6.831","0.239","3.605","7.969","1.406","6.671","0.10770","1.298","2014-02-03 15:13:49","CYL5320191","55881331",""
"349","U1431","D","1","H","2","W","50.0","2.000","1.988","C","151.0","60.2","1.372","0.547","2.816","80.6","4.152","4862","11.061","4.640","6.654","0.233","4.407","8.063","1.670","6.498","0.10490","1.565","2014-02-03 15:13:56","CYL5320221","55881341",""
"349","U1431","D","1","H","3","W","27.0","2.770","2.752","C","165.9","62.4","1.348","0.507","2.840","82.1","4.602","4863","10.327","4.109","6.444","0.226","3.883","7.660","1.469","6.293","0.10159","1.367","2014-02-03 15:14:03","CYL5320241","55881351",""
"349","U1431","D","2","H","1","W","60.0","3.800","3.800","C","114.5","53.4","1.462","0.681","2.865","76.2","3.204","4864","13.877","6.728","7.408","0.259","6.469","9.493","2.375","7.235","0.11680","2.258","2014-02-03 15:14:09","CYL5323491","55881361",""
"349","U1431","D","2","H","2","W","60.0","5.300","5.300","C","64.3","39.1","1.670","1.017","2.808","63.8","1.762","4865","13.403","8.343","5.244","0.184","8.159","8.026","2.988","5.121","0.08267","2.905","2014-02-03 15:14:15","CYL5323501","55881371",""
"349","U1431","D","2","H","3","W","60.0","6.800","6.800","C","167.1","62.6","1.347","0.504","2.847","82.3","4.647","4866","13.428","5.321","8.401","0.294","5.027","9.970","1.898","8.204","0.13245","1.766","2014-02-03 15:37:47","CYL5323511","55882081",""
"349","U1431","D","2","H","4","W","75.0","8.450","8.450","C","92.2","48.0","1.533","0.797","2.826","71.8","2.544","4867","13.810","7.418","6.624","0.232","7.186","9.011","2.647","6.469","0.10443","2.543","2014-02-03 15:37:53","CYL5323521","55882101",""
"349","U1431","D","2","H","5","W","69.0","9.890","9.890","C","90.1","47.4","1.543","0.812","2.839","71.4","2.498","4868","14.745","8.001","6.989","0.245","7.756","9.557","2.842","6.825","0.11018","2.732","2014-02-03 15:38:00","CYL5323531","55882111",""
"349","U1431","D","2","H","6","W","78.0","11.480","11.480","C","96.7","49.2","1.519","0.772","2.851","72.9","2.691","4853","14.503","7.624","7.128","0.249","7.375","9.548","2.699","6.961","0.11239","2.587","2014-02-03 15:37:40","CYL5323541","55882071",""
"349","U1431","D","3","H","1","W","69.0","13.390","13.390","C","46.1","31.5","1.811","1.240","2.803","55.8","1.261","4854","14.203","9.880","4.480","0.157","9.723","7.844","3.540","4.375","0.07063","3.469","2014-02-03 21:28:44","CYL5324411","55999121",""
"349","U1431","D","3","H","2","W","69.0","14.890","14.890","C","172.2","63.3","1.330","0.488","2.738","82.2","4.605","4855","12.717","4.953","8.046","0.282","4.671","9.563","1.833","7.857","0.12685","1.706","2014-02-03 21:29:14","CYL5324421","56001081",""
"349","U1431","D","3","H","3","W","72.0","16.420","16.420","C","112.7","53.0","1.464","0.688","2.834","75.7","3.118","4856","14.293","6.986","7.572","0.265","6.721","9.766","2.491","7.395","0.11938","2.372","2014-02-03 21:32:22","CYL5324431","56009151",""
"349","U1431","D","3","H","4","W","53.0","17.730","17.730","C","111.7","52.8","1.468","0.694","2.848","75.6","3.106","4857","12.009","5.895","6.336","0.222","5.673","8.179","2.092","6.187","0.09989","1.992","2014-02-03 21:32:29","CYL5324441","56009461",""
