"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","1","","2.5","0.025","0.025","18.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","5.0","0.050","0.050","20.80","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","7.5","0.075","0.074","22.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","10.0","0.100","0.099","22.20","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","12.5","0.125","0.124","24.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","15.0","0.150","0.149","26.60","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","17.5","0.175","0.174","27.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","20.0","0.200","0.199","25.20","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","22.5","0.225","0.224","24.40","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","25.0","0.250","0.248","22.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","27.5","0.275","0.273","18.60","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","30.0","0.300","0.298","16.80","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","32.5","0.325","0.323","15.80","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","35.0","0.350","0.348","15.40","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","1","","37.5","0.375","0.373","14.20","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292831","55236761","","",""
"349","U1431","A","1","H","2","","1.1","0.511","0.508","14.20","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","3.6","0.536","0.533","20.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","6.1","0.561","0.557","28.60","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","8.6","0.586","0.582","38.20","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","11.1","0.611","0.607","48.20","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","13.6","0.636","0.632","51.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","16.1","0.661","0.657","46.60","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","18.6","0.686","0.682","48.40","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","21.1","0.711","0.707","54.60","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","23.6","0.736","0.732","60.80","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","26.1","0.761","0.757","65.60","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","28.6","0.786","0.781","74.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","31.1","0.811","0.806","80.40","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","33.6","0.836","0.831","83.80","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","36.1","0.861","0.856","97.80","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","2","","38.6","0.886","0.881","84.00","2014-02-01 05:20:43","MS90_695","WRMSL","SECT5292861","55236771","","",""
"349","U1431","A","1","H","3","","2.4","1.024","1.019","83.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","4.9","1.049","1.044","60.20","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","7.4","1.074","1.068","45.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","9.9","1.099","1.093","45.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","12.4","1.124","1.118","47.80","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","14.9","1.149","1.143","45.80","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","17.4","1.174","1.168","43.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","19.9","1.199","1.193","46.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","22.4","1.224","1.218","63.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","24.9","1.249","1.242","92.80","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","27.4","1.274","1.267","111.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","29.9","1.299","1.292","111.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","32.4","1.324","1.317","110.20","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","34.9","1.349","1.342","105.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","3","","37.4","1.374","1.367","75.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292891","55236781","","",""
"349","U1431","A","1","H","4","","0.7","1.507","1.499","45.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","3.2","1.532","1.524","38.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","5.7","1.557","1.549","30.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","8.2","1.582","1.574","20.20","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","10.7","1.607","1.599","15.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","13.2","1.632","1.623","15.60","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","15.7","1.657","1.648","20.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","18.2","1.682","1.673","23.20","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","20.7","1.707","1.698","22.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","23.2","1.732","1.723","20.60","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","25.7","1.757","1.747","19.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","28.2","1.782","1.772","18.00","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","30.7","1.807","1.797","17.60","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","33.2","1.832","1.822","17.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","35.7","1.857","1.847","17.20","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","4","","38.2","1.882","1.872","17.40","2014-02-01 05:20:49","MS90_695","WRMSL","SECT5292921","55236791","","",""
"349","U1431","A","1","H","5","","1.1","2.011","2.000","24.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","3.6","2.036","2.025","27.60","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","6.1","2.061","2.050","25.20","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","8.6","2.086","2.074","22.20","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","11.1","2.111","2.099","20.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","13.6","2.136","2.124","20.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","16.1","2.161","2.149","21.40","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","18.6","2.186","2.174","23.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","21.1","2.211","2.199","25.20","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","23.6","2.236","2.224","27.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","26.1","2.261","2.249","28.20","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","28.6","2.286","2.274","29.40","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","31.1","2.311","2.298","31.60","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","33.6","2.336","2.323","31.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","36.1","2.361","2.348","28.40","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
"349","U1431","A","1","H","5","","38.6","2.386","2.373","22.00","2014-02-01 05:20:54","MS90_695","WRMSL","SECT5292951","55236801","","",""
