"Exp","Site","Hole","Core","Type","Sect","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","NGR total counts (cps)","Error (cps)","Relative Error","Timestamp (UTC)","Instrument","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","B","2","H","1","0.0","7.500","7.500","34.279","2.041","0.060","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","10.0","7.600","7.600","31.161","0.653","0.021","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","20.0","7.700","7.699","29.879","0.334","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","30.0","7.800","7.799","35.416","0.360","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","40.0","7.900","7.899","37.357","0.376","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","50.0","8.000","7.998","38.604","0.382","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","60.0","8.100","8.098","35.861","0.369","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","70.0","8.200","8.198","36.581","0.373","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","80.0","8.300","8.297","33.596","0.359","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","90.0","8.400","8.397","31.109","0.347","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","100.0","8.500","8.497","30.866","0.345","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","110.0","8.600","8.596","33.173","0.356","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","120.0","8.700","8.696","34.712","0.356","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","130.0","8.800","8.796","37.444","0.817","0.022","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","140.0","8.900","8.895","36.125","2.035","0.056","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","2","0.0","9.000","8.995","17.129","1.077","0.063","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","10.0","9.100","9.095","15.083","0.381","0.025","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","20.0","9.200","9.194","15.896","0.254","0.016","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","30.0","9.300","9.294","20.792","0.285","0.014","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","40.0","9.400","9.394","24.987","0.317","0.013","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","50.0","9.500","9.494","25.571","0.320","0.013","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","60.0","9.600","9.593","28.754","0.336","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","70.0","9.700","9.693","27.484","0.329","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","80.0","9.800","9.793","26.572","0.325","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","90.0","9.900","9.893","31.369","0.348","0.011","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","100.0","10.000","9.992","32.116","0.351","0.011","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","110.0","10.100","10.092","26.336","0.323","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","120.0","10.200","10.192","24.839","0.306","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","130.0","10.300","10.292","28.507","0.603","0.021","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","140.0","10.400","10.391","27.619","1.665","0.060","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","3","0.0","10.500","10.491","28.284","1.702","0.060","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","10.0","10.600","10.591","29.253","0.621","0.021","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","20.0","10.700","10.690","33.676","0.352","0.010","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
